Category;Title;Format;URL
Licensing;Licensing_Windows_and_Microsoft_Office_for_use_on_the_Macintosh;PDF;http://ligman.me/2u2bSbh
Licensing;VLSC_Software_Assurance_Guide;PDF;http://ligman.me/2u7XYoT
Licensing;Windows_Server_2016_and_System_Center_2016_Pricing_and_Licensing_FAQs;PDF;http://ligman.me/2txAWqi
Office;Access_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1sgBtn4
Office;Azure_ADOffice_365_seamless_sign-in;PDF;http://ligman.me/2tEnvmU
Office;Content_Encryption_in_Microsoft_Office_365;PDF;http://ligman.me/2txxLic
Office;Controlling_Access_to_Office_365_and_Protecting_Content_on_Devices;PDF;http://ligman.me/2u89sJ3
Office;Customize_Word_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1qzON6Q
Office;Data_Resiliency_in_Microsoft_Office_365;PDF;http://ligman.me/2tXYR34
Office;Excel_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1onTg9n
Office;Excel_2016_keyboard_shortcuts_and_function_keys;DOC;http://ligman.me/2uH1nrZ
Office;Excel_Online_Keyboard_Shortcuts;PDF;http://ligman.me/VP2t2L
Office;File_Protection_Solutions_in_Office_365;PDF;http://ligman.me/2v0u0jd
Office;First_Look_Microsoft®_Office_2010;PDF;http://ligman.me/1Ra595J
Office;Get_Started_With_Microsoft_OneDrive;PDF;http://ligman.me/2v0H3ku
Office;Get_Started_With_Microsoft_Project_Online;PDF;http://ligman.me/2tEtms3
Office;Getting_started_with_MyAnalytics;DOC;http://ligman.me/2u88i06
Office;How_To_Recover_That_Un-Saved_Office_Document;PDF;http://ligman.me/1jWMJA2
Office;InfoPath_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1qZlnOJ
Office;Keyboard_shortcuts_for_Microsoft_Outlook_2013_and_2016;DOC;http://ligman.me/2u2RnLQ
Office;Keyboard_shortcuts_for_Microsoft_Word_2016_for_Windows;DOC;http://ligman.me/2v0AQFy
Office;Licensing_Microsoft_Office_365_ProPlus_Subscription_Service_in_Volume_Licensing;PDF;http://ligman.me/1xqtaWN
